raw_mark,scaled_score,exam,year,section,part,subject
0,1,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
1,1,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
2,1,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
3,1,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
4,1.1,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
5,1.7,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
6,2.3,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
7,2.7,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
8,3.2,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
9,3.6,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
10,4,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
11,4.4,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
12,4.8,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
13,5.1,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
14,5.5,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
15,5.8,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
16,6.2,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
17,6.6,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
18,7,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
19,7.4,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
20,7.9,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
21,8.4,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
22,9,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
23,9,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
24,9,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
25,9,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
26,9,ENGAA,2018,"Section 1","Section 1B","Maths & Physics (advanced)"
