raw_mark,scaled_score,exam,year,section,part,subject
0,1,ENGAA,2021,"Section 2","Section 2","Maths & Physics (advanced)"
1,1,ENGAA,2021,"Section 2","Section 2","Maths & Physics (advanced)"
2,1,ENGAA,2021,"Section 2","Section 2","Maths & Physics (advanced)"
3,1.3,ENGAA,2021,"Section 2","Section 2","Maths & Physics (advanced)"
4,2.2,ENGAA,2021,"Section 2","Section 2","Maths & Physics (advanced)"
5,2.8,ENGAA,2021,"Section 2","Section 2","Maths & Physics (advanced)"
6,3.4,ENGAA,2021,"Section 2","Section 2","Maths & Physics (advanced)"
7,4,ENGAA,2021,"Section 2","Section 2","Maths & Physics (advanced)"
8,4.5,ENGAA,2021,"Section 2","Section 2","Maths & Physics (advanced)"
9,5,ENGAA,2021,"Section 2","Section 2","Maths & Physics (advanced)"
10,5.5,ENGAA,2021,"Section 2","Section 2","Maths & Physics (advanced)"
11,6,ENGAA,2021,"Section 2","Section 2","Maths & Physics (advanced)"
12,6.5,ENGAA,2021,"Section 2","Section 2","Maths & Physics (advanced)"
13,7,ENGAA,2021,"Section 2","Section 2","Maths & Physics (advanced)"
14,7.5,ENGAA,2021,"Section 2","Section 2","Maths & Physics (advanced)"
15,8.1,ENGAA,2021,"Section 2","Section 2","Maths & Physics (advanced)"
16,8.8,ENGAA,2021,"Section 2","Section 2","Maths & Physics (advanced)"
17,9,ENGAA,2021,"Section 2","Section 2","Maths & Physics (advanced)"
18,9,ENGAA,2021,"Section 2","Section 2","Maths & Physics (advanced)"
19,9,ENGAA,2021,"Section 2","Section 2","Maths & Physics (advanced)"
20,9,ENGAA,2021,"Section 2","Section 2","Maths & Physics (advanced)"
