raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2017,"Section 1","Part E","Advanced Maths & Physics"
1,1,NSAA,2017,"Section 1","Part E","Advanced Maths & Physics"
2,1.1,NSAA,2017,"Section 1","Part E","Advanced Maths & Physics"
3,2.1,NSAA,2017,"Section 1","Part E","Advanced Maths & Physics"
4,2.9,NSAA,2017,"Section 1","Part E","Advanced Maths & Physics"
5,3.6,NSAA,2017,"Section 1","Part E","Advanced Maths & Physics"
6,4.3,NSAA,2017,"Section 1","Part E","Advanced Maths & Physics"
7,4.8,NSAA,2017,"Section 1","Part E","Advanced Maths & Physics"
8,5.4,NSAA,2017,"Section 1","Part E","Advanced Maths & Physics"
9,5.9,NSAA,2017,"Section 1","Part E","Advanced Maths & Physics"
10,6.5,NSAA,2017,"Section 1","Part E","Advanced Maths & Physics"
11,7,NSAA,2017,"Section 1","Part E","Advanced Maths & Physics"
12,7.6,NSAA,2017,"Section 1","Part E","Advanced Maths & Physics"
13,8.2,NSAA,2017,"Section 1","Part E","Advanced Maths & Physics"
14,8.9,NSAA,2017,"Section 1","Part E","Advanced Maths & Physics"
15,9,NSAA,2017,"Section 1","Part E","Advanced Maths & Physics"
16,9,NSAA,2017,"Section 1","Part E","Advanced Maths & Physics"
17,9,NSAA,2017,"Section 1","Part E","Advanced Maths & Physics"
18,9,NSAA,2017,"Section 1","Part E","Advanced Maths & Physics"
