raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2019,"Section 1","Part B","Physics"
1,1,NSAA,2019,"Section 1","Part B","Physics"
2,1,NSAA,2019,"Section 1","Part B","Physics"
3,1,NSAA,2019,"Section 1","Part B","Physics"
4,1.6,NSAA,2019,"Section 1","Part B","Physics"
5,2.3,NSAA,2019,"Section 1","Part B","Physics"
6,2.9,NSAA,2019,"Section 1","Part B","Physics"
7,3.5,NSAA,2019,"Section 1","Part B","Physics"
8,4,NSAA,2019,"Section 1","Part B","Physics"
9,4.5,NSAA,2019,"Section 1","Part B","Physics"
10,5,NSAA,2019,"Section 1","Part B","Physics"
11,5.6,NSAA,2019,"Section 1","Part B","Physics"
12,6.2,NSAA,2019,"Section 1","Part B","Physics"
13,6.8,NSAA,2019,"Section 1","Part B","Physics"
14,7.5,NSAA,2019,"Section 1","Part B","Physics"
15,8.3,NSAA,2019,"Section 1","Part B","Physics"
16,9,NSAA,2019,"Section 1","Part B","Physics"
17,9,NSAA,2019,"Section 1","Part B","Physics"
18,9,NSAA,2019,"Section 1","Part B","Physics"
