raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2022,"Section 1","Part A","Mathematics"
1,1,NSAA,2022,"Section 1","Part A","Mathematics"
2,1,NSAA,2022,"Section 1","Part A","Mathematics"
3,1,NSAA,2022,"Section 1","Part A","Mathematics"
4,1.3,NSAA,2022,"Section 1","Part A","Mathematics"
5,1.8,NSAA,2022,"Section 1","Part A","Mathematics"
6,2.2,NSAA,2022,"Section 1","Part A","Mathematics"
7,2.6,NSAA,2022,"Section 1","Part A","Mathematics"
8,3,NSAA,2022,"Section 1","Part A","Mathematics"
9,3.4,NSAA,2022,"Section 1","Part A","Mathematics"
10,3.7,NSAA,2022,"Section 1","Part A","Mathematics"
11,4.1,NSAA,2022,"Section 1","Part A","Mathematics"
12,4.5,NSAA,2022,"Section 1","Part A","Mathematics"
13,4.8,NSAA,2022,"Section 1","Part A","Mathematics"
14,5.2,NSAA,2022,"Section 1","Part A","Mathematics"
15,5.7,NSAA,2022,"Section 1","Part A","Mathematics"
16,6.1,NSAA,2022,"Section 1","Part A","Mathematics"
17,6.7,NSAA,2022,"Section 1","Part A","Mathematics"
18,7.5,NSAA,2022,"Section 1","Part A","Mathematics"
19,8.7,NSAA,2022,"Section 1","Part A","Mathematics"
20,9,NSAA,2022,"Section 1","Part A","Mathematics"
