raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2022,"Section 1","Part D","Biology"
1,1,NSAA,2022,"Section 1","Part D","Biology"
2,1,NSAA,2022,"Section 1","Part D","Biology"
3,1,NSAA,2022,"Section 1","Part D","Biology"
4,1,NSAA,2022,"Section 1","Part D","Biology"
5,1,NSAA,2022,"Section 1","Part D","Biology"
6,1.2,NSAA,2022,"Section 1","Part D","Biology"
7,1.8,NSAA,2022,"Section 1","Part D","Biology"
8,2.3,NSAA,2022,"Section 1","Part D","Biology"
9,2.9,NSAA,2022,"Section 1","Part D","Biology"
10,3.4,NSAA,2022,"Section 1","Part D","Biology"
11,4,NSAA,2022,"Section 1","Part D","Biology"
12,4.5,NSAA,2022,"Section 1","Part D","Biology"
13,5.1,NSAA,2022,"Section 1","Part D","Biology"
14,5.7,NSAA,2022,"Section 1","Part D","Biology"
15,6.3,NSAA,2022,"Section 1","Part D","Biology"
16,7.1,NSAA,2022,"Section 1","Part D","Biology"
17,7.9,NSAA,2022,"Section 1","Part D","Biology"
18,9,NSAA,2022,"Section 1","Part D","Biology"
19,9,NSAA,2022,"Section 1","Part D","Biology"
20,9,NSAA,2022,"Section 1","Part D","Biology"
