raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2022,"Section 2","Part Z","Biology"
1,1,NSAA,2022,"Section 2","Part Z","Biology"
2,1,NSAA,2022,"Section 2","Part Z","Biology"
3,1,NSAA,2022,"Section 2","Part Z","Biology"
4,1,NSAA,2022,"Section 2","Part Z","Biology"
5,1,NSAA,2022,"Section 2","Part Z","Biology"
6,1.5,NSAA,2022,"Section 2","Part Z","Biology"
7,2,NSAA,2022,"Section 2","Part Z","Biology"
8,2.5,NSAA,2022,"Section 2","Part Z","Biology"
9,3,NSAA,2022,"Section 2","Part Z","Biology"
10,3.5,NSAA,2022,"Section 2","Part Z","Biology"
11,3.9,NSAA,2022,"Section 2","Part Z","Biology"
12,4.4,NSAA,2022,"Section 2","Part Z","Biology"
13,4.9,NSAA,2022,"Section 2","Part Z","Biology"
14,5.4,NSAA,2022,"Section 2","Part Z","Biology"
15,6,NSAA,2022,"Section 2","Part Z","Biology"
16,6.7,NSAA,2022,"Section 2","Part Z","Biology"
17,7.4,NSAA,2022,"Section 2","Part Z","Biology"
18,8.4,NSAA,2022,"Section 2","Part Z","Biology"
19,9,NSAA,2022,"Section 2","Part Z","Biology"
20,9,NSAA,2022,"Section 2","Part Z","Biology"
