raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2023,"Section 1","Part C","Chemistry"
1,1,NSAA,2023,"Section 1","Part C","Chemistry"
2,1,NSAA,2023,"Section 1","Part C","Chemistry"
3,1,NSAA,2023,"Section 1","Part C","Chemistry"
4,1,NSAA,2023,"Section 1","Part C","Chemistry"
5,1,NSAA,2023,"Section 1","Part C","Chemistry"
6,1.5,NSAA,2023,"Section 1","Part C","Chemistry"
7,2.1,NSAA,2023,"Section 1","Part C","Chemistry"
8,2.7,NSAA,2023,"Section 1","Part C","Chemistry"
9,3.2,NSAA,2023,"Section 1","Part C","Chemistry"
10,3.8,NSAA,2023,"Section 1","Part C","Chemistry"
11,4.3,NSAA,2023,"Section 1","Part C","Chemistry"
12,4.9,NSAA,2023,"Section 1","Part C","Chemistry"
13,5.4,NSAA,2023,"Section 1","Part C","Chemistry"
14,6,NSAA,2023,"Section 1","Part C","Chemistry"
15,6.6,NSAA,2023,"Section 1","Part C","Chemistry"
16,7.3,NSAA,2023,"Section 1","Part C","Chemistry"
17,8.1,NSAA,2023,"Section 1","Part C","Chemistry"
18,9,NSAA,2023,"Section 1","Part C","Chemistry"
19,9,NSAA,2023,"Section 1","Part C","Chemistry"
20,9,NSAA,2023,"Section 1","Part C","Chemistry"
