raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2023,"Section 2","Part X","Physics"
1,1,NSAA,2023,"Section 2","Part X","Physics"
2,1,NSAA,2023,"Section 2","Part X","Physics"
3,1.5,NSAA,2023,"Section 2","Part X","Physics"
4,2.1,NSAA,2023,"Section 2","Part X","Physics"
5,2.7,NSAA,2023,"Section 2","Part X","Physics"
6,3.1,NSAA,2023,"Section 2","Part X","Physics"
7,3.5,NSAA,2023,"Section 2","Part X","Physics"
8,3.9,NSAA,2023,"Section 2","Part X","Physics"
9,4.3,NSAA,2023,"Section 2","Part X","Physics"
10,4.6,NSAA,2023,"Section 2","Part X","Physics"
11,5,NSAA,2023,"Section 2","Part X","Physics"
12,5.4,NSAA,2023,"Section 2","Part X","Physics"
13,5.8,NSAA,2023,"Section 2","Part X","Physics"
14,6.2,NSAA,2023,"Section 2","Part X","Physics"
15,6.6,NSAA,2023,"Section 2","Part X","Physics"
16,7.1,NSAA,2023,"Section 2","Part X","Physics"
17,7.7,NSAA,2023,"Section 2","Part X","Physics"
18,8.5,NSAA,2023,"Section 2","Part X","Physics"
19,9,NSAA,2023,"Section 2","Part X","Physics"
20,9,NSAA,2023,"Section 2","Part X","Physics"
