raw_mark,scaled_score,exam,year,section,part,subject
0,1,TMUA,2018,"Papers","Overall","Both papers"
1,1,TMUA,2018,"Papers","Overall","Both papers"
2,1,TMUA,2018,"Papers","Overall","Both papers"
3,1,TMUA,2018,"Papers","Overall","Both papers"
4,1,TMUA,2018,"Papers","Overall","Both papers"
5,1,TMUA,2018,"Papers","Overall","Both papers"
6,1,TMUA,2018,"Papers","Overall","Both papers"
7,1,TMUA,2018,"Papers","Overall","Both papers"
8,1.5,TMUA,2018,"Papers","Overall","Both papers"
9,1.9,TMUA,2018,"Papers","Overall","Both papers"
10,2.3,TMUA,2018,"Papers","Overall","Both papers"
11,2.6,TMUA,2018,"Papers","Overall","Both papers"
12,3,TMUA,2018,"Papers","Overall","Both papers"
13,3.3,TMUA,2018,"Papers","Overall","Both papers"
14,3.6,TMUA,2018,"Papers","Overall","Both papers"
15,3.9,TMUA,2018,"Papers","Overall","Both papers"
16,4.2,TMUA,2018,"Papers","Overall","Both papers"
17,4.5,TMUA,2018,"Papers","Overall","Both papers"
18,4.8,TMUA,2018,"Papers","Overall","Both papers"
19,5.1,TMUA,2018,"Papers","Overall","Both papers"
20,5.4,TMUA,2018,"Papers","Overall","Both papers"
21,5.6,TMUA,2018,"Papers","Overall","Both papers"
22,5.9,TMUA,2018,"Papers","Overall","Both papers"
23,6.2,TMUA,2018,"Papers","Overall","Both papers"
24,6.5,TMUA,2018,"Papers","Overall","Both papers"
25,6.8,TMUA,2018,"Papers","Overall","Both papers"
26,7.1,TMUA,2018,"Papers","Overall","Both papers"
27,7.4,TMUA,2018,"Papers","Overall","Both papers"
28,7.7,TMUA,2018,"Papers","Overall","Both papers"
29,8,TMUA,2018,"Papers","Overall","Both papers"
30,8.4,TMUA,2018,"Papers","Overall","Both papers"
31,8.8,TMUA,2018,"Papers","Overall","Both papers"
32,9,TMUA,2018,"Papers","Overall","Both papers"
33,9,TMUA,2018,"Papers","Overall","Both papers"
34,9,TMUA,2018,"Papers","Overall","Both papers"
35,9,TMUA,2018,"Papers","Overall","Both papers"
36,9,TMUA,2018,"Papers","Overall","Both papers"
37,9,TMUA,2018,"Papers","Overall","Both papers"
38,9,TMUA,2018,"Papers","Overall","Both papers"
39,9,TMUA,2018,"Papers","Overall","Both papers"
40,9,TMUA,2018,"Papers","Overall","Both papers"
