exam,category,year,section,kind,target,primary_url,note
NSAA,past-paper,2023,2,paper,NSAA/past-papers/2023/nsaa-2023-section-2-paper.pdf,https://www.verityprep.com/Pdf/FreeResources/OxfordCambridge/EsatFreeResources/NSAA_Section2/PastPaper/NSAA%202023%20Section%202%20-%20Question%20Paper.pdf,2023 Section 2 question paper.
NSAA,past-paper,2023,2,answer-key,NSAA/past-papers/2023/nsaa-2023-section-2-answer-key.pdf,https://verityprep.com/Pdf/FreeResources/OxfordCambridge/EsatFreeResources/NSAA_Section2/AnswerKey/NSAA%202023%20Section%201%20and%202%20-%20Answer%20Key.pdf,Source PDF contains the combined 2023 Section 1 + Section 2 answer key.
NSAA,past-paper,2016,2,worked-solutions,NSAA/past-papers/2016/nsaa-2016-section-2-worked-solutions.pdf,https://pmt.physicsandmathstutor.com/download/Admissions/NSAA/Solutions/NSAA-2016-Section-2-Solutions.pdf,"NSAA Section 2 was long-form in 2016-2019; this is a model/worked-solutions document, not an MCQ answer key."
NSAA,past-paper,2017,2,worked-solutions,NSAA/past-papers/2017/nsaa-2017-section-2-worked-solutions.pdf,https://pmt.physicsandmathstutor.com/download/Admissions/NSAA/Solutions/NSAA-2017-Section-2-Solutions.pdf,"NSAA Section 2 was long-form in 2016-2019; this is a model/worked-solutions document, not an MCQ answer key."
NSAA,past-paper,2018,2,worked-solutions,NSAA/past-papers/2018/nsaa-2018-section-2-worked-solutions.pdf,https://pmt.physicsandmathstutor.com/download/Admissions/NSAA/Solutions/NSAA-2018-Section-2-Solutions.pdf,"NSAA Section 2 was long-form in 2016-2019; this is a model/worked-solutions document, not an MCQ answer key."
NSAA,past-paper,2019,2,worked-solutions,NSAA/past-papers/2019/nsaa-2019-section-2-worked-solutions.pdf,https://pmt.physicsandmathstutor.com/download/Admissions/NSAA/Solutions/NSAA-2019-Section-2-Solutions.pdf,"NSAA Section 2 was long-form in 2016-2019; this is a model/worked-solutions document, not an MCQ answer key."
NSAA,specimen,2016,1,paper,NSAA/specimens/2016/nsaa-specimen-2016-section-1-paper.pdf,https://pmt.physicsandmathstutor.com/download/Admissions/NSAA/Papers/NSAA%20Specimen%202016%20Section%201.pdf,2016 Section 1 specimen paper.
NSAA,specimen,2016,1,answer-key,NSAA/specimens/2016/nsaa-specimen-2016-section-1-answer-key.pdf,https://pmt.physicsandmathstutor.com/download/Admissions/NSAA/Answer-Keys/NSAA%20Specimen%202016%20Section%201%20Answer%20Key.pdf,2016 Section 1 specimen answer key.
NSAA,specimen,2020,1,paper,NSAA/specimens/2020/nsaa-specimen-2020-section-1-paper.pdf,https://pmt.physicsandmathstutor.com/download/Admissions/NSAA/Papers/NSAA%20Specimen%202020%20Section%201.pdf,2020 Section 1 specimen paper.
NSAA,specimen,2020,1,answer-key,NSAA/specimens/2020/nsaa-specimen-2020-section-1-answer-key.pdf,https://pmt.physicsandmathstutor.com/download/Admissions/NSAA/Answer-Keys/NSAA%20Specimen%202020%20Section%201%20Answer%20Key.pdf,2020 Section 1 specimen answer key.
NSAA,specimen,2022,2,paper,NSAA/specimens/2022/nsaa-specimen-2022-section-2-paper.pdf,https://www.verityprep.com/Pdf/FreeResources/OxfordCambridge/EsatFreeResources/NSAA_Section2/PastPaper/NSAA%20Specimen%20%282022%29%20Section%202%20-%20Question%20Paper.pdf,2022 Section 2 specimen paper.
NSAA,specimen,2022,2,answer-key,NSAA/specimens/2022/nsaa-specimen-2022-section-2-answer-key.pdf,https://www.verityprep.com/Pdf/FreeResources/OxfordCambridge/EsatFreeResources/NSAA_Section2/AnswerKey/NSAA%20Specimen%20%282022%29%20Section%202%20-%20Answer%20Key.pdf,2022 Section 2 specimen answer key.
NSAA,specimen,2016,2,worked-solutions,NSAA/specimens/2016/nsaa-specimen-2016-section-2-worked-solutions.pdf,https://pmt.physicsandmathstutor.com/download/Admissions/NSAA/Solutions/NSAA-Specimen-2016-Section-2-Solutions.pdf,2016 Section 2 specimen model solutions (long-form paper).
ENGAA,past-paper,2023,2,paper,ENGAA/past-papers/2023/engaa-2023-section-2-paper.pdf,https://www.verityprep.com/Pdf/FreeResources/OxfordCambridge/EsatFreeResources/ENGAA/EngaaPaper/ENGAA%202023%20Section%202%20-%20Question%20Paper.pdf,2023 Section 2 question paper.
ENGAA,past-paper,2023,2,answer-key,ENGAA/past-papers/2023/engaa-2023-section-2-answer-key.pdf,https://verityprep.com/Pdf/FreeResources/OxfordCambridge/EsatFreeResources/ENGAA/AnswerKey/ENGAA%202023%20Section%201%20and%202%20-%20Answer%20Key.pdf,Source PDF contains the combined 2023 Section 1 + Section 2 answer key.
ENGAA,past-paper,2021,2,answer-key,ENGAA/past-papers/2021/engaa-2021-section-2-answer-key.pdf,https://www.verityprep.com/Pdf/FreeResources/OxfordCambridge/EsatFreeResources/ENGAA/AnswerKey/ENGAA%202021%20Section%202%20-%20Answer%20Key.pdf,2021 Section 2 answer key.
ENGAA,past-paper,2022,2,answer-key,ENGAA/past-papers/2022/engaa-2022-section-2-answer-key.pdf,https://www.verityprep.com/Pdf/FreeResources/OxfordCambridge/EsatFreeResources/ENGAA/AnswerKey/ENGAA%202022%20Section%202%20-%20Answer%20Key.pdf,2022 Section 2 answer key; official Cambridge PDF is included as fallback.
ENGAA,specimen,,1,paper,ENGAA/specimens/engaa-specimen-section-1-paper.pdf,https://pmt.physicsandmathstutor.com/download/Admissions/ENGAA/Papers/ENGAA%20Specimen%20Section%201.pdf,ENGAA Section 1 specimen paper.
ENGAA,specimen,,1,answer-key,ENGAA/specimens/engaa-specimen-section-1-answer-key.pdf,https://pmt.physicsandmathstutor.com/download/Admissions/ENGAA/Answer-Keys/ENGAA%20Specimen%20Section%201%20Answer%20Key.pdf,ENGAA Section 1 specimen answer key.
NSAA,specification,2016,,specification,NSAA/specifications/nsaa-specification-2016.pdf,https://www.undergraduate.study.cam.ac.uk/files/publications/nsaa_specification_2016.pdf,"Historical specification. For the oldest years, live official URLs may have been retired; the downloader also attempts archive/source-page discovery if direct candidates fail."
NSAA,specification,2017,,specification,NSAA/specifications/nsaa-specification-2017.pdf,https://www.undergraduate.study.cam.ac.uk/files/publications/nsaa_specification_2017.pdf,"Historical specification. For the oldest years, live official URLs may have been retired; the downloader also attempts archive/source-page discovery if direct candidates fail."
NSAA,specification,2018,,specification,NSAA/specifications/nsaa-specification-2018.pdf,https://www.undergraduate.study.cam.ac.uk/files/publications/natural_sciences_admissions_assessment_specification_2018.pdf,"Historical specification. For the oldest years, live official URLs may have been retired; the downloader also attempts archive/source-page discovery if direct candidates fail."
NSAA,specification,2019,,specification,NSAA/specifications/nsaa-specification-2019.pdf,https://www.dropbox.com/scl/fi/94hyt54j6bb536omvp1eh/natural_sciences_admissions_assessment_specification_2019.pdf?dl=1&rlkey=nkwf0xp5n5jjdtgfe5wahuk47&st=7fhon4k0,"Historical specification. For the oldest years, live official URLs may have been retired; the downloader also attempts archive/source-page discovery if direct candidates fail."
NSAA,specification,2020,,specification,NSAA/specifications/nsaa-specification-2020.pdf,https://www.dropbox.com/s/k14ogdxumskh3ph/NSAA%20Specification%202020.pdf?dl=1,"Historical specification. For the oldest years, live official URLs may have been retired; the downloader also attempts archive/source-page discovery if direct candidates fail."
NSAA,specification,2021,,specification,NSAA/specifications/nsaa-specification-2021.pdf,https://www.dropbox.com/s/atred32z8getamr/nsaa_specification2021.pdf?dl=1,"Historical specification. For the oldest years, live official URLs may have been retired; the downloader also attempts archive/source-page discovery if direct candidates fail."
NSAA,specification,2022,,specification,NSAA/specifications/nsaa-specification-2022.pdf,https://www.dropbox.com/s/e7fl9u1tvxa01bg/nsaa_specification_2022.pdf?dl=1,"Historical specification. For the oldest years, live official URLs may have been retired; the downloader also attempts archive/source-page discovery if direct candidates fail."
NSAA,specification,2023,,specification,NSAA/specifications/nsaa-specification-2023.pdf,https://www.undergraduate.study.cam.ac.uk/files/publications/nsaa_specification_2023.pdf,"Historical specification. For the oldest years, live official URLs may have been retired; the downloader also attempts archive/source-page discovery if direct candidates fail."
ENGAA,specification,2016,,specification,ENGAA/specifications/engaa-specification-2016.pdf,https://www.undergraduate.study.cam.ac.uk/files/publications/engaa_specification_2016.pdf,"Historical specification. For the oldest years, live official URLs may have been retired; the downloader also attempts archive/source-page discovery if direct candidates fail."
